"iso3c","country","long","lat","region"
"ABW","Aruba","-70.0167","12.5167","Latin America & Caribbean "
"AFG","Afghanistan","69.1761","34.5228","South Asia"
"AGO","Angola","13.242","-8.81155","Sub-Saharan Africa "
"ALB","Albania","19.8172","41.3317","Europe & Central Asia"
"AND","Andorra","1.5218","42.5075","Europe & Central Asia"
"ARE","United Arab Emirates","54.3705","24.4764","Middle East & North Africa"
"ARG","Argentina","-58.4173","-34.6118","Latin America & Caribbean "
"ARM","Armenia","44.509","40.1596","Europe & Central Asia"
"ASM","American Samoa","-170.691","-14.2846","East Asia & Pacific"
"ATG","Antigua and Barbuda","-61.8456","17.1175","Latin America & Caribbean "
"AUS","Australia","149.129","-35.282","East Asia & Pacific"
"AUT","Austria","16.3798","48.2201","Europe & Central Asia"
"AZE","Azerbaijan","49.8932","40.3834","Europe & Central Asia"
"BDI","Burundi","29.3639","-3.3784","Sub-Saharan Africa "
"BEL","Belgium","4.36761","50.8371","Europe & Central Asia"
"BEN","Benin","2.6323","6.4779","Sub-Saharan Africa "
"BFA","Burkina Faso","-1.53395","12.3605","Sub-Saharan Africa "
"BGD","Bangladesh","90.4113","23.7055","South Asia"
"BGR","Bulgaria","23.3238","42.7105","Europe & Central Asia"
"BHR","Bahrain","50.5354","26.1921","Middle East & North Africa"
"BHS","Bahamas, The","-77.339","25.0661","Latin America & Caribbean "
"BIH","Bosnia and Herzegovina","18.4214","43.8607","Europe & Central Asia"
"BLR","Belarus","27.5766","53.9678","Europe & Central Asia"
"BLZ","Belize","-88.7713","17.2534","Latin America & Caribbean "
"BMU","Bermuda","-64.706","32.3293","North America"
"BOL","Bolivia","-66.1936","-13.9908","Latin America & Caribbean "
"BRA","Brazil","-47.9292","-15.7801","Latin America & Caribbean "
"BRB","Barbados","-59.6105","13.0935","Latin America & Caribbean "
"BRN","Brunei Darussalam","114.946","4.94199","East Asia & Pacific"
"BTN","Bhutan","89.6177","27.5768","South Asia"
"BWA","Botswana","25.9201","-24.6544","Sub-Saharan Africa "
"CAF","Central African Republic","21.6407","5.63056","Sub-Saharan Africa "
"CAN","Canada","-75.6919","45.4215","North America"
"CHE","Switzerland","7.44821","46.948","Europe & Central Asia"
"CHI","Channel Islands",,,"Europe & Central Asia"
"CHL","Chile","-70.6475","-33.475","Latin America & Caribbean "
"CHN","China","116.286","40.0495","East Asia & Pacific"
"CIV","Cote d'Ivoire","-4.0305","5.332","Sub-Saharan Africa "
"CMR","Cameroon","11.5174","3.8721","Sub-Saharan Africa "
"COD","Congo, Dem. Rep.","15.3222","-4.325","Sub-Saharan Africa "
"COG","Congo, Rep.","15.2662","-4.2767","Sub-Saharan Africa "
"COL","Colombia","-74.082","4.60987","Latin America & Caribbean "
"COM","Comoros","43.2418","-11.6986","Sub-Saharan Africa "
"CPV","Cabo Verde","-23.5087","14.9218","Sub-Saharan Africa "
"CRI","Costa Rica","-84.0089","9.63701","Latin America & Caribbean "
"CUB","Cuba","-82.3667","23.1333","Latin America & Caribbean "
"CUW","Curacao",,,"Latin America & Caribbean "
"CYM","Cayman Islands","-81.3857","19.3022","Latin America & Caribbean "
"CYP","Cyprus","33.3736","35.1676","Europe & Central Asia"
"CZE","Czech Republic","14.4205","50.0878","Europe & Central Asia"
"DEU","Germany","13.4115","52.5235","Europe & Central Asia"
"DJI","Djibouti","43.1425","11.5806","Middle East & North Africa"
"DMA","Dominica","-61.39","15.2976","Latin America & Caribbean "
"DNK","Denmark","12.5681","55.6763","Europe & Central Asia"
"DOM","Dominican Republic","-69.8908","18.479","Latin America & Caribbean "
"DZA","Algeria","3.05097","36.7397","Middle East & North Africa"
"ECU","Ecuador","-78.5243","-0.229498","Latin America & Caribbean "
"EGY","Egypt, Arab Rep.","31.2461","30.0982","Middle East & North Africa"
"ERI","Eritrea","38.9183","15.3315","Sub-Saharan Africa "
"ESP","Spain","-3.70327","40.4167","Europe & Central Asia"
"EST","Estonia","24.7586","59.4392","Europe & Central Asia"
"ETH","Ethiopia","38.7468","9.02274","Sub-Saharan Africa "
"FIN","Finland","24.9525","60.1608","Europe & Central Asia"
"FJI","Fiji","178.399","-18.1149","East Asia & Pacific"
"FRA","France","2.35097","48.8566","Europe & Central Asia"
"FRO","Faroe Islands","-6.91181","61.8926","Europe & Central Asia"
"FSM","Micronesia, Fed. Sts.","158.185","6.91771","East Asia & Pacific"
"GAB","Gabon","9.45162","0.38832","Sub-Saharan Africa "
"GBR","United Kingdom","-0.126236","51.5002","Europe & Central Asia"
"GEO","Georgia","44.793","41.71","Europe & Central Asia"
"GHA","Ghana","-0.20795","5.57045","Sub-Saharan Africa "
"GIB","Gibraltar",,,"Europe & Central Asia"
"GIN","Guinea","-13.7","9.51667","Sub-Saharan Africa "
"GMB","Gambia, The","-16.5885","13.4495","Sub-Saharan Africa "
"GNB","Guinea-Bissau","-15.1804","11.8037","Sub-Saharan Africa "
"GNQ","Equatorial Guinea","8.7741","3.7523","Sub-Saharan Africa "
"GRC","Greece","23.7166","37.9792","Europe & Central Asia"
"GRD","Grenada","-61.7449","12.0653","Latin America & Caribbean "
"GRL","Greenland","-51.7214","64.1836","Europe & Central Asia"
"GTM","Guatemala","-90.5328","14.6248","Latin America & Caribbean "
"GUM","Guam","144.794","13.4443","East Asia & Pacific"
