iso3c;long;lat;region;country;country_weapons;country_migrations;country_hdi
NOCODE;;;No region;Czechoslovakia;Czechoslovakia;;
NOCODE;;;No region;NATO**;NATO**;;
NOCODE;;;No region;OSCE**;OSCE**;;
NOCODE;;;No region;Western Sahara;Western Sahara;Western Sahara;
NOCODE;;;No region;Regional Security System**;Regional Security System**;;
NOCODE;;;No region;United Nations**;United Nations**;;
NOCODE;;;No region;Unknown rebel group*;Unknown rebel group*;;
NOCODE;;;No region;Unknown recipient(s);Unknown recipient(s);;
NOCODE;;;No region;Unknown supplier(s);Unknown supplier(s);;
NOCODE;;;No region;Soviet Union;Soviet Union;;
NOCODE;;;No region;Yugoslavia;Yugoslavia;;
NOCODE;;;No region;Caribbean Netherlands;;Caribbean Netherlands;
NOCODE;;;No region;Holy See;;Holy See;
;;;No region;Germany (FRG);Germany (FRG);;
;;;No region;East Germany (GDR);East Germany (GDR);;
AFG;69.1761;34.5228;South Asia;Afghanistan;Afghanistan;Afghanistan; Afghanistan
AFG;69.1761;34.5228;South Asia;Afghanistan;Northern Alliance (Afghanistan)*;;
AFG;69.1761;34.5228;South Asia;Afghanistan;Mujahedin (Afghanistan)*;;
ALB;19.8172;41.3317;Europe & Central Asia;Albania;Albania;Albania; Albania
DZA;3.05097;36.7397;Middle East & North Africa;Algeria;Algeria;Algeria; Algeria
ASM;-170.691;-14.2846;East Asia & Pacific;American Samoa;;American Samoa;
AND;1.5218;42.5075;Europe & Central Asia;Andorra;;Andorra; Andorra
AGO;13.242;-8.81155;Sub-Saharan Africa ;Angola;Angola;Angola; Angola
AGO;13.242;-8.81155;Sub-Saharan Africa ;Angola;UNITA (Angola)*;;
AGO;13.242;-8.81155;Sub-Saharan Africa ;Angola;FNLA (Angola)*;;
ATG;-61.8456;17.1175;Latin America & Caribbean ;Antigua and Barbuda;;Antigua and Barbuda; Antigua and Barbuda
ARG;-58.4173;-34.6118;Latin America & Caribbean ;Argentina;Argentina;Argentina; Argentina
ARM;44.509;40.1596;Europe & Central Asia;Armenia;Armenia;Armenia; Armenia
ABW;-70.0167;12.5167;Latin America & Caribbean ;Aruba;Aruba;Aruba;
AUS;149.129;-35.282;East Asia & Pacific;Australia;Australia;Australia; Australia
AUT;16.3798;48.2201;Europe & Central Asia;Austria;Austria;Austria; Austria
AZE;49.8932;40.3834;Europe & Central Asia;Azerbaijan;Azerbaijan;Azerbaijan; Azerbaijan
BHS;-77.339;25.0661;Latin America & Caribbean ;Bahamas, The;Bahamas;Bahamas; Bahamas
BHR;50.5354;26.1921;Middle East & North Africa;Bahrain;Bahrain;Bahrain; Bahrain
BGD;90.4113;23.7055;South Asia;Bangladesh;Bangladesh;Bangladesh; Bangladesh
BRB;-59.6105;13.0935;Latin America & Caribbean ;Barbados;Barbados;Barbados; Barbados
BLR;27.5766;53.9678;Europe & Central Asia;Belarus;Belarus;Belarus; Belarus
BEL;4.36761;50.8371;Europe & Central Asia;Belgium;Belgium;Belgium; Belgium
BLZ;-88.7713;17.2534;Latin America & Caribbean ;Belize;Belize;Belize; Belize
BEN;2.6323;6.4779;Sub-Saharan Africa ;Benin;Benin;Benin; Benin
BMU;-64.706;32.3293;North America;Bermuda;;Bermuda;
BTN;89.6177;27.5768;South Asia;Bhutan;Bhutan;Bhutan; Bhutan
BOL;-66.1936;-13.9908;Latin America & Caribbean ;Bolivia;Bolivia;Bolivia (Plurinational State of); Bolivia (Plurinational State of)
BIH;18.4214;43.8607;Europe & Central Asia;Bosnia and Herzegovina;Bosnia-Herzegovina;Bosnia and Herzegovina; Bosnia and Herzegovina
BWA;25.9201;-24.6544;Sub-Saharan Africa ;Botswana;Botswana;Botswana; Botswana
BRA;-47.9292;-15.7801;Latin America & Caribbean ;Brazil;Brazil;Brazil; Brazil
VGB;-64.623056;18.431389;Latin America & Caribbean ;British Virgin Islands;;British Virgin Islands;
VGB;-64.623056;18.431389;Latin America & Caribbean ;British Virgin Islands;;Anguilla;
BRN;114.946;4.94199;East Asia & Pacific;Brunei Darussalam;Brunei;Brunei Darussalam; Brunei Darussalam
BGR;23.3238;42.7105;Europe & Central Asia;Bulgaria;Bulgaria;Bulgaria; Bulgaria
BFA;-1.53395;12.3605;Sub-Saharan Africa ;Burkina Faso;Burkina Faso;Burkina Faso; Burkina Faso
BDI;29.3639;-3.3784;Sub-Saharan Africa ;Burundi;Burundi;Burundi; Burundi
CPV;-23.5087;14.9218;Sub-Saharan Africa ;Cabo Verde;Cape Verde;Cabo Verde; Cabo Verde
KHM;104.874;11.5556;East Asia & Pacific;Cambodia;Cambodia;Cambodia; Cambodia
KHM;104.874;11.5556;East Asia & Pacific;Cambodia;Khmer Rouge (Cambodia)*;;
CMR;11.5174;3.8721;Sub-Saharan Africa ;Cameroon;Cameroon;Cameroon; Cameroon
CAN;-75.6919;45.4215;North America;Canada;Canada;Canada; Canada
CYM;-81.3857;19.3022;Latin America & Caribbean ;Cayman Islands;;Cayman Islands;
CAF;21.6407;5.63056;Sub-Saharan Africa ;Central African Republic;Central African Republic;Central African Republic; Central African Republic
TCD;15.0445;12.1048;Sub-Saharan Africa ;Chad;Chad;Chad; Chad
TCD;15.0445;12.1048;Sub-Saharan Africa ;Chad;FAN (Chad)*;;
TCD;15.0445;12.1048;Sub-Saharan Africa ;Chad;GUNT (Chad)*;;
CHI;;;Europe & Central Asia;Channel Islands;;Channel Islands;
CHL;-70.6475;-33.475;Latin America & Caribbean ;Chile;Chile;Chile; Chile
CHN;116.286;40.0495;East Asia & Pacific;China;China;China; China
COL;-74.082;4.60987;Latin America & Caribbean ;Colombia;Colombia;Colombia; Colombia
COM;43.2418;-11.6986;Sub-Saharan Africa ;Comoros;Comoros;Comoros; Comoros
COD;15.3222;-4.325;Sub-Saharan Africa ;Congo (RDC);DR Congo;Democratic Republic of the Congo; Congo (Democratic Republic of the)
COD;15.3222;-4.325;Sub-Saharan Africa ;Congo (RDC);Katanga;;
COG;15.2662;-4.2767;Sub-Saharan Africa ;Congo;Congo;Congo; Congo
CRI;-84.0089;9.63701;Latin America & Caribbean ;Costa Rica;Costa Rica;Costa Rica; Costa Rica
CIV;-4.0305;5.332;Sub-Saharan Africa ;Cote d'Ivoire;Cote d'Ivoire;Côte d'Ivoire; Côte d'Ivoire
HRV;15.9614;45.8069;Europe & Central Asia;Croatia;Croatia;Croatia; Croatia
CUB;-82.3667;23.1333;Latin America & Caribbean ;Cuba;Cuba;Cuba; Cuba
CUB;-82.3667;23.1333;Latin America & Caribbean ;Cuba;Anti-Castro rebels (Cuba)*;;
CUW;;;Latin America & Caribbean ;Curacao;;Curaçao;
CYP;33.3736;35.1676;Europe & Central Asia;Cyprus;Cyprus;Cyprus; Cyprus
CYP;33.3736;35.1676;Europe & Central Asia;Cyprus;Northern Cyprus;;
CZE;14.4205;50.0878;Europe & Central Asia;Czech Republic;Czech Republic;Czechia; Czechia
DNK;12.5681;55.6763;Europe & Central Asia;Denmark;Denmark;Denmark; Denmark
DJI;43.1425;11.5806;Middle East & North Africa;Djibouti;Djibouti;Djibouti; Djibouti
DMA;-61.39;15.2976;Latin America & Caribbean ;Dominica;Dominican Republic;Dominica; Dominica
DOM;-69.8908;18.479;Latin America & Caribbean ;Dominican Republic;;Dominican Republic; Dominican Republic
ECU;-78.5243;-0.229498;Latin America & Caribbean ;Ecuador;Ecuador;Ecuador; Ecuador
EGY;31.2461;30.0982;Middle East & North Africa;Egypt, Arab Rep,;Egypt;Egypt; Egypt
SLV;-89.2073;13.7034;Latin America & Caribbean ;El Salvador;El Salvador;El Salvador; El Salvador
SLV;-89.2073;13.7034;Latin America & Caribbean ;El Salvador;FMLN (El Salvador)*;;
